Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,11570953.26,11906327.26,12939097.14,15290142.44,17583836.48,18957853.31,21854769.33,23588876.31,25110055.7,26429125.49,27838556.38,30309941.94,30577860.7,32033391.22,31252005.9,32173509.31,32143669.04,32898726.99,33694152.93,34529320.66,34981373
United States of America,16111902.65,15683187.68,15846720.35,15906155.65,16402180.66,16383882.95,16035120.14,16333674.78,15785392.65,14671655.5,15062459.7,14514155.58,13881657.49,14302335.81,14467265.35,14314475.02,14682106.98,14678397.36,15157179.94,14785252.77,13717065
India,2775164.117,3982550.644,4047846.916,4235793.358,4473785.292,4666517.312,4948438.227,5190787.713,5624293.919,6198108.789,6057011.547,6267149.307,6844611.638,7269164.46,7951530.158,8150567.988,8234298.65,8845353.739,9266324.652,9341811.765,8690366
Indonesia,7140926.362,2954725.676,5820661.102,3795938.234,5956900.56,4579782.599,6973688.304,3705025.076,3817228.404,5953202.962,3733705.333,7355035.48,7652253.98,7223950.329,9138750.893,10457047.52,5950599.249,5651937.045,7009602.132,8554756.248,5376260
Democratic Republic of the Congo,2780117.878,2779877.464,2780221.009,2781563.217,2781342.667,2782289.444,2773725.788,2780608.36,2801921.106,2810065.876,2820025.933,4221188.228,4220122.012,4224023.02,4228014.549,4221701.917,4219106.403,4220464.347,4222001.434,4222186.224,4221552
Russian Federation,3264749.805,1407512.631,1310952.388,1465686.959,1580235.978,1789424.961,1931757.612,1923758.062,1989982.248,1415778.363,1560653.94,2330020.133,2399823.581,2322724.764,2367241.122,2401856.422,3107646.588,3145205.285,3371023.245,3395501.171,3645372
Japan,3901617.284,3739453.941,3826326.469,3867245.657,3935562.349,3890583.908,3882168.497,3929957.636,3812827.273,3455311.762,3669594.215,3924577.03,4061293.251,4062233.691,3959701.926,3811875.998,3824656.531,3817540.845,3709978.791,3617643.49,3363946
Iran (Islamic Republic of),1276264.638,1262449.21,1285817.3,1344340.809,1449892.454,1535837.03,1698916.19,1738874.707,1843979.152,1900541.718,1960918.934,2186823.565,2242885.713,2238568.892,2354325.201,2358259.682,2404114.615,2550528.479,2637082.054,2710464.263,2784678
Canada,2411307.533,3306711.69,3310353.905,3426372.026,3468236.247,3521467.1,3551932.114,3560234.693,3501451.243,3373970.424,3392167.714,2679005.442,2666788.522,2724679.427,2789370.215,2829498.464,2430990.867,2502434.889,2539603.82,2534897.416,2353562
Saudi Arabia,1036444.036,1075600.377,1176413.684,1188118.748,1405325.504,1426489.735,1545645.558,1447351.071,1608265.374,1724620.084,1891546.289,1866978.277,2072495.054,2024205.973,2217808.382,2369212.713,2115765.665,2146960.672,2137505.11,2092680.594,2065712
Germany,2776000.496,2959603.502,2943678.617,2922330.565,2898245.779,2839066.65,2896687.311,2788467.958,2753369.185,2544485.236,2697247.304,2556402.495,2563589.686,2619710.677,2496252.087,2522182.544,2523073.241,2507625.44,2430904.974,2289145.271,2063314
Republic of Korea,1353913.368,1298208.215,1352174.262,1347158.168,1389170.031,1344199.143,1354309.498,1439468.342,1481474.25,1489121.792,1680935.974,1805742.49,1809924.386,1829178.959,1830301.477,1848013.663,1957195.824,2007145.783,2050530.244,1984711.977,1850579
South Africa,1538327.478,1448642.174,1412295.544,1565703.688,1723797.109,1671906.87,1774817.102,1843345.941,1937084.419,1931092.013,1789934.015,1794738.41,1774052.487,1767974.04,1850246.652,1718979.509,1760212.935,1772390.104,1757507.67,1801184.123,1674631
Mexico,1659983.427,1304699.309,1300637.386,1384875.266,1365924.497,1454549.318,1502546.287,1534490.375,1679707.257,1582398.701,1491485.969,1870001.236,1863495.141,1879223.298,1837152.884,1798456.664,1842280.028,1800268.286,1777437.729,1728935.981,1465111
Malaysia,621114.4923,732611.5271,766762.4852,829649.0135,942522.9613,777694.5109,889226.2696,995835.1685,1010012.571,1094113.042,1083326.05,-155122.5667,362053.7313,446580.7619,302376.7824,464865.4762,1126613.129,1318381.184,1374531.82,1405125.383,1327369
